Copyright 1986-2022 Xilinx, Inc. All Rights Reserved.
-------------------------------------------------------------------------------------------------
| Tool Version : Vivado v.2022.1 (lin64) Build 3526262 Mon Apr 18 15:47:01 MDT 2022
| Date         : Wed Oct 19 20:11:54 2022
| Host         : omeng143 running 64-bit Ubuntu 20.04.5 LTS
| Command      : report_timing -sort_by group -max_paths 100 -path_type summary -file timing.log
| Design       : main
| Device       : 7a15t-cpg236
| Speed File   : -1  PRODUCTION 1.23 2018-06-13
-------------------------------------------------------------------------------------------------

Timing Report

Startpoint                     Endpoint                       Slack(ns)     
----------------------------------------------------------------------------
game_counter_reg[23]/C         game_counter_reg[23]/D         80.084        
game_counter_reg[23]/C         game_counter_reg[21]/D         80.124        
game_counter_reg[23]/C         game_counter_reg[17]/D         80.212        
game_counter_reg[23]/C         game_counter_reg[22]/D         80.219        
game_counter_reg[23]/C         game_counter_reg[19]/D         80.233        
game_counter_reg[23]/C         game_counter_reg[20]/D         80.235        
game_counter_reg[23]/C         game_counter_reg[18]/D         80.307        
game_counter_reg[23]/C         game_counter_reg[16]/D         80.323        
game_counter_reg[23]/C         game_counter_reg[13]/D         80.325        
game_counter_reg[23]/C         game_counter_reg[15]/D         80.346        
game_counter_reg[23]/C         game_counter_reg[14]/D         80.420        
game_counter_reg[23]/C         game_counter_reg[12]/D         80.436        
game_counter_reg[23]/C         game_counter_reg[9]/D          80.439        
game_counter_reg[23]/C         game_counter_reg[11]/D         80.460        
game_counter_reg[23]/C         game_counter_reg[10]/D         80.534        
game_counter_reg[23]/C         game_counter_reg[8]/D          80.550        
game_counter_reg[23]/C         game_counter_reg[5]/D          80.552        
x_reg[1]/C                     x_reg[0]/R                     80.571        
x_reg[1]/C                     x_reg[1]/R                     80.571        
x_reg[1]/C                     x_reg[2]/R                     80.571        
x_reg[1]/C                     x_reg[3]/R                     80.571        
game_counter_reg[23]/C         game_counter_reg[7]/D          80.573        
game_counter_reg[23]/C         game_counter_reg[6]/D          80.647        
display_counter_reg[12]/C      display_counter_reg[12]/D      80.652        
game_counter_reg[23]/C         game_counter_reg[4]/D          80.663        
display_counter_reg[12]/C      display_counter_reg[9]/D       80.694        
display_counter_reg[12]/C      display_counter_reg[11]/D      80.715        
display_counter_reg[12]/C      display_counter_reg[10]/D      80.789        
game_counter_reg[23]/C         game_counter_reg[3]/D          80.794        
display_counter_reg[12]/C      display_counter_reg[8]/D       80.805        
display_counter_reg[12]/C      display_counter_reg[5]/D       80.808        
display_counter_reg[12]/C      display_counter_reg[7]/D       80.829        
game_counter_reg[23]/C         game_counter_reg[2]/D          80.854        
display_counter_reg[12]/C      display_counter_reg[6]/D       80.903        
display_counter_reg[12]/C      display_counter_reg[4]/D       80.919        
game_counter_reg[23]/C         game_counter_reg[1]/D          81.008        
display_counter_reg[12]/C      display_counter_reg[3]/D       81.075        
display_counter_reg[12]/C      display_counter_reg[2]/D       81.135        
game_counter_reg[23]/C         game_counter_reg[0]/D          81.185        
display_counter_reg[12]/C      display_counter_reg[1]/D       81.488        
x_reg[1]/C                     x_reg[2]/D                     81.566        
x_reg[1]/C                     x_reg[3]/D                     81.580        
display_counter_reg[12]/C      display_counter_reg[0]/D       81.690        
x_reg[1]/C                     x_reg[1]/D                     81.905        
x_reg[0]/C                     x_reg[0]/D                     82.062        
game_counter_reg[23]/C         cells_x[1].cells_y[5].CELL/state_q_reg/CE
                                                              82.063        
display_counter_reg[12]/C      x_reg[0]/CE                    82.115        
display_counter_reg[12]/C      x_reg[1]/CE                    82.115        
display_counter_reg[12]/C      x_reg[2]/CE                    82.115        
display_counter_reg[12]/C      x_reg[3]/CE                    82.115        



